Data;Hora;Temperatura;Umidade
07/01/2023;17:50:48;24.7;76
07/01/2023;17:51:20;24.7;76
07/01/2023;17:51:50;24.7;76
07/01/2023;17:52:20;24.7;76
07/01/2023;17:52:50;24.7;76
07/01/2023;17:53:20;24.7;76
07/01/2023;17:53:50;24.7;76
07/01/2023;17:54:20;24.7;76
07/01/2023;17:54:50;24.7;76
07/01/2023;17:55:20;24.7;76
07/01/2023;17:55:50;24.7;76
07/01/2023;17:56:20;24.7;76
07/01/2023;17:56:50;24.7;76
07/01/2023;17:57:21;24.7;76
07/01/2023;17:57:51;24.7;76
07/01/2023;17:58:21;24.7;76
07/01/2023;17:58:51;24.7;76
07/01/2023;17:59:21;24.6;76
07/01/2023;17:59:51;24.6;76
07/01/2023;18:00:21;24.7;76
07/01/2023;18:00:51;24.6;76
07/01/2023;18:01:21;24.6;76
07/01/2023;18:01:51;24.6;76
07/01/2023;18:02:21;24.6;76
07/01/2023;18:02:51;24.6;76
07/01/2023;18:03:21;24.6;76
07/01/2023;18:03:52;24.6;76
07/01/2023;18:04:22;24.6;76
07/01/2023;18:04:52;24.6;76
07/01/2023;18:05:22;24.6;76
07/01/2023;18:05:52;24.6;76
07/01/2023;18:06:22;24.6;76
07/01/2023;18:06:52;24.6;76
07/01/2023;18:07:22;24.6;76
07/01/2023;18:07:52;24.6;76
07/01/2023;18:08:22;24.6;76
07/01/2023;18:08:52;24.6;76
07/01/2023;18:09:22;24.6;76
07/01/2023;18:09:52;24.6;76
07/01/2023;18:10:23;24.6;76
07/01/2023;18:10:53;24.6;76
07/01/2023;18:11:23;24.6;76
07/01/2023;18:11:53;24.6;76
07/01/2023;18:12:23;24.6;76
07/01/2023;18:12:53;24.6;76
07/01/2023;18:13:23;24.6;76
07/01/2023;18:13:53;24.6;76
07/01/2023;18:14:23;24.6;76
07/01/2023;18:14:53;24.6;76
07/01/2023;18:15:23;24.6;76
07/01/2023;18:15:53;24.6;76
07/01/2023;18:16:24;24.6;76
07/01/2023;18:16:54;24.6;76
07/01/2023;18:17:24;24.6;76
07/01/2023;18:17:54;24.6;76
07/01/2023;18:18:24;24.6;76
07/01/2023;18:18:54;24.6;76
07/01/2023;18:19:24;24.6;76
07/01/2023;18:19:54;24.6;76
07/01/2023;18:20:24;24.6;76
07/01/2023;18:20:54;24.6;76
